plot,genre
A young man goes on a journey to find treasure and love.,Romance
A spaceship crew explores a new galaxy and meets aliens.,Sci-Fi
A detective investigates a mysterious murder case in town.,Mystery
A group of friends go on an adventure in the mountains.,Adventure
A hero saves the world from destruction.,Action
Romantic couple falls in love during college.,Romance
Detectives investigate a mysterious murder.,Thriller
"Woman finds love in Paris,Romance.",Romance
A haunted house terrifies its visitors.,Horrer
Spies go undercover to stop a nuclear war.,Action
Boy and girl from different worlds fall in love.,Romance
Group of friends trapped in a forest with killer.,Horrer
Police chase a cunning serial killer.,Thriller
